PrimaryDI|sterilizationMethod
00842188122606|Moist Heat or Steam Sterilization
00842188122590|Moist Heat or Steam Sterilization
00842188122583|Moist Heat or Steam Sterilization
00842188122576|Moist Heat or Steam Sterilization
00842188122569|Moist Heat or Steam Sterilization
00842188122552|Moist Heat or Steam Sterilization
00842188122545|Moist Heat or Steam Sterilization
00842188122538|Moist Heat or Steam Sterilization
00842188122521|Moist Heat or Steam Sterilization
00842188122514|Moist Heat or Steam Sterilization
00842188122507|Moist Heat or Steam Sterilization
00842188122491|Moist Heat or Steam Sterilization
00842188122484|Moist Heat or Steam Sterilization
00842188122477|Moist Heat or Steam Sterilization
00842188122460|Moist Heat or Steam Sterilization
00842188122453|Moist Heat or Steam Sterilization
00842188122446|Moist Heat or Steam Sterilization
00842188122439|Moist Heat or Steam Sterilization
00842188122422|Moist Heat or Steam Sterilization
00842188122415|Moist Heat or Steam Sterilization
00842188122408|Moist Heat or Steam Sterilization
00842188122392|Moist Heat or Steam Sterilization
00842188122385|Moist Heat or Steam Sterilization
00842188122378|Moist Heat or Steam Sterilization
00842188122361|Moist Heat or Steam Sterilization
00842188122354|Moist Heat or Steam Sterilization
00842188122347|Moist Heat or Steam Sterilization
00842188122330|Moist Heat or Steam Sterilization
00842188122323|Moist Heat or Steam Sterilization
00842188122316|Moist Heat or Steam Sterilization
00842188122309|Moist Heat or Steam Sterilization
00842188122293|Moist Heat or Steam Sterilization
00842188122286|Moist Heat or Steam Sterilization
00842188122279|Moist Heat or Steam Sterilization
00842188122262|Moist Heat or Steam Sterilization
00842188122255|Moist Heat or Steam Sterilization
00842188122248|Moist Heat or Steam Sterilization
00842188122231|Moist Heat or Steam Sterilization
00842188122224|Moist Heat or Steam Sterilization
00842188122217|Moist Heat or Steam Sterilization
00842188122200|Moist Heat or Steam Sterilization
00842188122194|Moist Heat or Steam Sterilization
00842188122187|Moist Heat or Steam Sterilization
00842188122170|Moist Heat or Steam Sterilization
00842188122163|Moist Heat or Steam Sterilization
00842188122156|Moist Heat or Steam Sterilization
00842188122149|Moist Heat or Steam Sterilization
00842188122132|Moist Heat or Steam Sterilization
00842188122125|Moist Heat or Steam Sterilization
00842188122118|Moist Heat or Steam Sterilization
00842188122101|Moist Heat or Steam Sterilization
00842188122095|Moist Heat or Steam Sterilization
00842188122088|Moist Heat or Steam Sterilization
00842188122071|Moist Heat or Steam Sterilization
00842188122064|Moist Heat or Steam Sterilization
00842188122057|Moist Heat or Steam Sterilization
00842188122040|Moist Heat or Steam Sterilization
00842188122033|Moist Heat or Steam Sterilization
00842188122026|Moist Heat or Steam Sterilization
00842188122019|Moist Heat or Steam Sterilization
00842188122002|Moist Heat or Steam Sterilization
00842188121999|Moist Heat or Steam Sterilization
00842188121982|Moist Heat or Steam Sterilization
00842188121975|Moist Heat or Steam Sterilization
00842188121968|Moist Heat or Steam Sterilization
00842188121951|Moist Heat or Steam Sterilization
00842188121944|Moist Heat or Steam Sterilization
00842188121937|Moist Heat or Steam Sterilization
00842188121920|Moist Heat or Steam Sterilization
00842188121913|Moist Heat or Steam Sterilization
00842188121906|Moist Heat or Steam Sterilization
00842188121890|Moist Heat or Steam Sterilization
00842188121883|Moist Heat or Steam Sterilization
00842188121876|Moist Heat or Steam Sterilization
00842188121869|Moist Heat or Steam Sterilization
00842188121852|Moist Heat or Steam Sterilization
00842188121845|Moist Heat or Steam Sterilization
00842188121838|Moist Heat or Steam Sterilization
00842188121821|Moist Heat or Steam Sterilization
00842188121814|Moist Heat or Steam Sterilization
00842188121807|Moist Heat or Steam Sterilization
00842188121791|Moist Heat or Steam Sterilization
00842188121784|Moist Heat or Steam Sterilization
00842188121777|Moist Heat or Steam Sterilization
00842188121760|Moist Heat or Steam Sterilization
00842188121753|Moist Heat or Steam Sterilization
00842188121746|Moist Heat or Steam Sterilization
00842188121739|Moist Heat or Steam Sterilization
00842188121722|Moist Heat or Steam Sterilization
00842188121715|Moist Heat or Steam Sterilization
00842188121708|Moist Heat or Steam Sterilization
00842188121692|Moist Heat or Steam Sterilization
00842188121685|Moist Heat or Steam Sterilization
00842188121678|Moist Heat or Steam Sterilization
00842188121661|Moist Heat or Steam Sterilization
00842188121654|Moist Heat or Steam Sterilization
00842188121647|Moist Heat or Steam Sterilization
00842188121630|Moist Heat or Steam Sterilization
00842188121623|Moist Heat or Steam Sterilization
00842188121616|Moist Heat or Steam Sterilization
00842188121609|Moist Heat or Steam Sterilization
00842188121593|Moist Heat or Steam Sterilization
00842188121586|Moist Heat or Steam Sterilization
00842188121579|Moist Heat or Steam Sterilization
00842188121562|Moist Heat or Steam Sterilization
00842188121555|Moist Heat or Steam Sterilization
00842188121548|Moist Heat or Steam Sterilization
00842188121531|Moist Heat or Steam Sterilization
00842188121524|Moist Heat or Steam Sterilization
00842188121517|Moist Heat or Steam Sterilization
00842188121500|Moist Heat or Steam Sterilization
00842188121494|Moist Heat or Steam Sterilization
00842188121487|Moist Heat or Steam Sterilization
00842188121470|Moist Heat or Steam Sterilization
00842188121463|Moist Heat or Steam Sterilization
00842188121456|Moist Heat or Steam Sterilization
00842188121449|Moist Heat or Steam Sterilization
00842188121432|Moist Heat or Steam Sterilization
00842188121425|Moist Heat or Steam Sterilization
00842188121418|Moist Heat or Steam Sterilization
00842188121401|Moist Heat or Steam Sterilization
00842188121395|Moist Heat or Steam Sterilization
00842188121388|Moist Heat or Steam Sterilization
00842188121371|Moist Heat or Steam Sterilization
00842188121364|Moist Heat or Steam Sterilization
00842188121357|Moist Heat or Steam Sterilization
00842188121340|Moist Heat or Steam Sterilization
00842188121333|Moist Heat or Steam Sterilization
00842188121326|Moist Heat or Steam Sterilization
00842188121319|Moist Heat or Steam Sterilization
00842188121302|Moist Heat or Steam Sterilization
00842188121296|Moist Heat or Steam Sterilization
00842188121289|Moist Heat or Steam Sterilization
00842188121272|Moist Heat or Steam Sterilization
00842188121265|Moist Heat or Steam Sterilization
00842188121258|Moist Heat or Steam Sterilization
00842188121241|Moist Heat or Steam Sterilization
00842188121234|Moist Heat or Steam Sterilization
00842188121227|Moist Heat or Steam Sterilization
00842188121210|Moist Heat or Steam Sterilization
00842188121203|Moist Heat or Steam Sterilization
00842188121197|Moist Heat or Steam Sterilization
00842188121180|Moist Heat or Steam Sterilization
00842188121173|Moist Heat or Steam Sterilization
00842188121166|Moist Heat or Steam Sterilization
00842188121159|Moist Heat or Steam Sterilization
00842188121142|Moist Heat or Steam Sterilization
00842188121135|Moist Heat or Steam Sterilization
00842188121128|Moist Heat or Steam Sterilization
00842188121111|Moist Heat or Steam Sterilization
00842188121104|Moist Heat or Steam Sterilization
00842188121098|Moist Heat or Steam Sterilization
00842188121081|Moist Heat or Steam Sterilization
00842188121074|Moist Heat or Steam Sterilization
00842188121067|Moist Heat or Steam Sterilization
00842188121050|Moist Heat or Steam Sterilization
00842188121043|Moist Heat or Steam Sterilization
00842188121036|Moist Heat or Steam Sterilization
00842188121029|Moist Heat or Steam Sterilization
00842188121012|Moist Heat or Steam Sterilization
00842188121005|Moist Heat or Steam Sterilization
00842188120992|Moist Heat or Steam Sterilization
00842188120985|Moist Heat or Steam Sterilization
00842188120978|Moist Heat or Steam Sterilization
00842188120961|Moist Heat or Steam Sterilization
00842188120954|Moist Heat or Steam Sterilization
00842188120947|Moist Heat or Steam Sterilization
00842188120930|Moist Heat or Steam Sterilization
00842188120923|Moist Heat or Steam Sterilization
00842188120916|Moist Heat or Steam Sterilization
00842188120909|Moist Heat or Steam Sterilization
00842188120893|Moist Heat or Steam Sterilization
00842188120886|Moist Heat or Steam Sterilization
00842188120879|Moist Heat or Steam Sterilization
00842188120862|Moist Heat or Steam Sterilization
00842188120855|Moist Heat or Steam Sterilization
00842188120848|Moist Heat or Steam Sterilization
00842188120831|Moist Heat or Steam Sterilization
00842188120824|Moist Heat or Steam Sterilization
00842188120817|Moist Heat or Steam Sterilization
00842188120800|Moist Heat or Steam Sterilization
00842188120794|Moist Heat or Steam Sterilization
00842188120787|Moist Heat or Steam Sterilization
00842188120770|Moist Heat or Steam Sterilization
00842188120763|Moist Heat or Steam Sterilization
00842188120756|Moist Heat or Steam Sterilization
00842188120749|Moist Heat or Steam Sterilization
00842188120732|Moist Heat or Steam Sterilization
00842188120725|Moist Heat or Steam Sterilization
00842188120718|Moist Heat or Steam Sterilization
00842188120701|Moist Heat or Steam Sterilization
00842188120695|Moist Heat or Steam Sterilization
00842188120688|Moist Heat or Steam Sterilization
00842188120671|Moist Heat or Steam Sterilization
00842188120664|Moist Heat or Steam Sterilization
00842188120657|Moist Heat or Steam Sterilization
00842188120640|Moist Heat or Steam Sterilization
00842188120633|Moist Heat or Steam Sterilization
00842188120626|Moist Heat or Steam Sterilization
00842188120619|Moist Heat or Steam Sterilization
00842188120602|Moist Heat or Steam Sterilization
00842188120596|Moist Heat or Steam Sterilization
00842188120589|Moist Heat or Steam Sterilization
00842188120572|Moist Heat or Steam Sterilization
00842188120565|Moist Heat or Steam Sterilization
00842188120558|Moist Heat or Steam Sterilization
00842188120541|Moist Heat or Steam Sterilization
00842188120534|Moist Heat or Steam Sterilization
00842188120527|Moist Heat or Steam Sterilization
00842188120510|Moist Heat or Steam Sterilization
00842188120503|Moist Heat or Steam Sterilization
00842188120497|Moist Heat or Steam Sterilization
00842188120480|Moist Heat or Steam Sterilization
00842188120473|Moist Heat or Steam Sterilization
00842188120466|Moist Heat or Steam Sterilization
00842188120459|Moist Heat or Steam Sterilization
00842188120442|Moist Heat or Steam Sterilization
00842188120435|Moist Heat or Steam Sterilization
00842188120428|Moist Heat or Steam Sterilization
00842188120411|Moist Heat or Steam Sterilization
00842188120404|Moist Heat or Steam Sterilization
00842188120398|Moist Heat or Steam Sterilization
00842188120381|Moist Heat or Steam Sterilization
00842188120374|Moist Heat or Steam Sterilization
00842188120367|Moist Heat or Steam Sterilization
00842188120350|Moist Heat or Steam Sterilization
00842188120343|Moist Heat or Steam Sterilization
00842188120336|Moist Heat or Steam Sterilization
00842188120329|Moist Heat or Steam Sterilization
00842188120312|Moist Heat or Steam Sterilization
00842188120305|Moist Heat or Steam Sterilization
00842188120299|Moist Heat or Steam Sterilization
00842188120282|Moist Heat or Steam Sterilization
00842188120275|Moist Heat or Steam Sterilization
00842188120268|Moist Heat or Steam Sterilization
00842188120251|Moist Heat or Steam Sterilization
00842188120244|Moist Heat or Steam Sterilization
00842188120237|Moist Heat or Steam Sterilization
00842188120220|Moist Heat or Steam Sterilization
00842188120213|Moist Heat or Steam Sterilization
00842188120206|Moist Heat or Steam Sterilization
00842188120190|Moist Heat or Steam Sterilization
00842188120183|Moist Heat or Steam Sterilization
00842188120176|Moist Heat or Steam Sterilization
00842188120169|Moist Heat or Steam Sterilization
00842188120152|Moist Heat or Steam Sterilization
00842188120145|Moist Heat or Steam Sterilization
00842188120138|Moist Heat or Steam Sterilization
00842188120121|Moist Heat or Steam Sterilization
00842188120114|Moist Heat or Steam Sterilization
00842188120107|Moist Heat or Steam Sterilization
00842188120091|Moist Heat or Steam Sterilization
00842188120084|Moist Heat or Steam Sterilization
00842188120077|Moist Heat or Steam Sterilization
00842188120060|Moist Heat or Steam Sterilization
00842188120053|Moist Heat or Steam Sterilization
00842188120046|Moist Heat or Steam Sterilization
00842188120039|Moist Heat or Steam Sterilization
00842188120022|Moist Heat or Steam Sterilization
00842188120015|Moist Heat or Steam Sterilization
00842188120008|Moist Heat or Steam Sterilization
00842188119996|Moist Heat or Steam Sterilization
00842188119989|Moist Heat or Steam Sterilization
00842188119972|Moist Heat or Steam Sterilization
00842188119965|Moist Heat or Steam Sterilization
00842188119958|Moist Heat or Steam Sterilization
00842188119941|Moist Heat or Steam Sterilization
00842188119934|Moist Heat or Steam Sterilization
00842188119927|Moist Heat or Steam Sterilization
00842188119910|Moist Heat or Steam Sterilization
00842188119903|Moist Heat or Steam Sterilization
00842188119897|Moist Heat or Steam Sterilization
00842188119880|Moist Heat or Steam Sterilization
00842188119873|Moist Heat or Steam Sterilization
00842188119866|Moist Heat or Steam Sterilization
00842188119859|Moist Heat or Steam Sterilization
00842188119842|Moist Heat or Steam Sterilization
00842188119835|Moist Heat or Steam Sterilization
00842188119828|Moist Heat or Steam Sterilization
00842188119811|Moist Heat or Steam Sterilization
00842188119804|Moist Heat or Steam Sterilization
00842188119798|Moist Heat or Steam Sterilization
00842188119781|Moist Heat or Steam Sterilization
00842188119774|Moist Heat or Steam Sterilization
00842188119767|Moist Heat or Steam Sterilization
00842188119750|Moist Heat or Steam Sterilization
00842188119743|Moist Heat or Steam Sterilization
00842188119736|Moist Heat or Steam Sterilization
00842188119729|Moist Heat or Steam Sterilization
00842188119712|Moist Heat or Steam Sterilization
00842188119705|Moist Heat or Steam Sterilization
00842188119699|Moist Heat or Steam Sterilization
00842188119682|Moist Heat or Steam Sterilization
00842188119675|Moist Heat or Steam Sterilization
00842188119668|Radiation Sterilization
00842188119651|Radiation Sterilization
00842188119644|Radiation Sterilization
00842188119637|Radiation Sterilization
00842188119620|Radiation Sterilization
00842188119613|Radiation Sterilization
00842188119606|Moist Heat or Steam Sterilization
00842188119590|Moist Heat or Steam Sterilization
00842188119583|Moist Heat or Steam Sterilization
00842188119576|Moist Heat or Steam Sterilization
00842188119569|Moist Heat or Steam Sterilization
00842188119552|Moist Heat or Steam Sterilization
00842188119545|Moist Heat or Steam Sterilization
00842188119538|Moist Heat or Steam Sterilization
00842188119521|Moist Heat or Steam Sterilization
00842188119514|Moist Heat or Steam Sterilization
00842188119507|Moist Heat or Steam Sterilization
00842188119491|Moist Heat or Steam Sterilization
00842188119484|Moist Heat or Steam Sterilization
00842188119477|Moist Heat or Steam Sterilization
00842188119460|Moist Heat or Steam Sterilization
00842188119453|Moist Heat or Steam Sterilization
00842188119446|Moist Heat or Steam Sterilization
00842188119439|Moist Heat or Steam Sterilization
00842188119422|Moist Heat or Steam Sterilization
00842188119415|Moist Heat or Steam Sterilization
00842188119408|Moist Heat or Steam Sterilization
00842188119392|Moist Heat or Steam Sterilization
00842188119385|Moist Heat or Steam Sterilization
00842188119378|Moist Heat or Steam Sterilization
00842188119361|Moist Heat or Steam Sterilization
00842188119354|Moist Heat or Steam Sterilization
00842188119347|Moist Heat or Steam Sterilization
00842188119330|Moist Heat or Steam Sterilization
00842188119323|Moist Heat or Steam Sterilization
00842188119316|Moist Heat or Steam Sterilization
00842188119309|Moist Heat or Steam Sterilization
00842188119293|Moist Heat or Steam Sterilization
00842188119286|Moist Heat or Steam Sterilization
00842188119279|Moist Heat or Steam Sterilization
00842188119262|Moist Heat or Steam Sterilization
00842188119255|Moist Heat or Steam Sterilization
00842188119248|Moist Heat or Steam Sterilization
00842188119231|Moist Heat or Steam Sterilization
00842188119224|Moist Heat or Steam Sterilization
00842188119217|Moist Heat or Steam Sterilization
00842188119200|Moist Heat or Steam Sterilization
00842188119194|Moist Heat or Steam Sterilization
00842188119187|Moist Heat or Steam Sterilization
00842188119170|Moist Heat or Steam Sterilization
00842188119163|Moist Heat or Steam Sterilization
00842188119156|Moist Heat or Steam Sterilization
00842188119149|Moist Heat or Steam Sterilization
00842188119132|Moist Heat or Steam Sterilization
00842188119125|Moist Heat or Steam Sterilization
00842188119118|Moist Heat or Steam Sterilization
00842188119101|Moist Heat or Steam Sterilization
00842188119095|Moist Heat or Steam Sterilization
00842188119088|Moist Heat or Steam Sterilization
00842188119071|Moist Heat or Steam Sterilization
00842188119064|Moist Heat or Steam Sterilization
00842188119057|Moist Heat or Steam Sterilization
00842188119040|Moist Heat or Steam Sterilization
00842188119033|Moist Heat or Steam Sterilization
00842188119026|Moist Heat or Steam Sterilization
00842188119019|Moist Heat or Steam Sterilization
00842188119002|Moist Heat or Steam Sterilization
00842188118999|Moist Heat or Steam Sterilization
00842188118982|Moist Heat or Steam Sterilization
00842188118975|Moist Heat or Steam Sterilization
00842188118968|Moist Heat or Steam Sterilization
00842188118951|Moist Heat or Steam Sterilization
00842188118944|Moist Heat or Steam Sterilization
00842188118937|Moist Heat or Steam Sterilization
00842188118920|Moist Heat or Steam Sterilization
00842188118913|Moist Heat or Steam Sterilization
00842188118906|Moist Heat or Steam Sterilization
00842188118890|Moist Heat or Steam Sterilization
00842188118883|Moist Heat or Steam Sterilization
00842188118876|Moist Heat or Steam Sterilization
00842188118869|Moist Heat or Steam Sterilization
00842188118852|Moist Heat or Steam Sterilization
00842188118845|Moist Heat or Steam Sterilization
00842188118838|Moist Heat or Steam Sterilization
00842188118821|Moist Heat or Steam Sterilization
00842188118814|Moist Heat or Steam Sterilization
00842188118807|Moist Heat or Steam Sterilization
00842188118791|Moist Heat or Steam Sterilization
00842188118784|Moist Heat or Steam Sterilization
00842188118777|Moist Heat or Steam Sterilization
00842188118760|Moist Heat or Steam Sterilization
00842188118753|Moist Heat or Steam Sterilization
00842188118746|Moist Heat or Steam Sterilization
00842188118739|Moist Heat or Steam Sterilization
00842188118722|Moist Heat or Steam Sterilization
00842188118715|Moist Heat or Steam Sterilization
00842188118708|Moist Heat or Steam Sterilization
00842188118692|Moist Heat or Steam Sterilization
00842188118685|Moist Heat or Steam Sterilization
00842188118678|Moist Heat or Steam Sterilization
00842188118661|Moist Heat or Steam Sterilization
00842188118654|Moist Heat or Steam Sterilization
00842188118647|Moist Heat or Steam Sterilization
00842188118630|Moist Heat or Steam Sterilization
00842188118623|Moist Heat or Steam Sterilization
00842188118616|Moist Heat or Steam Sterilization
00842188118609|Moist Heat or Steam Sterilization
00842188118593|Moist Heat or Steam Sterilization
00842188118586|Moist Heat or Steam Sterilization
00842188118579|Moist Heat or Steam Sterilization
00842188118562|Moist Heat or Steam Sterilization
00842188118555|Moist Heat or Steam Sterilization
00842188118548|Moist Heat or Steam Sterilization
00842188118531|Moist Heat or Steam Sterilization
00842188118524|Moist Heat or Steam Sterilization
00842188118517|Moist Heat or Steam Sterilization
00842188118500|Moist Heat or Steam Sterilization
00842188118494|Moist Heat or Steam Sterilization
00842188118487|Moist Heat or Steam Sterilization
00842188118470|Moist Heat or Steam Sterilization
00842188118463|Moist Heat or Steam Sterilization
