PrimaryDI,gmdnPTName,gmdnPTDefinition
842307103479,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103462,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103455,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103448,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103431,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103424,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103417,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103400,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103394,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103387,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103370,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103363,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103356,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103349,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103325,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103318,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103301,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103295,Bariatric bed,"A mains electricity (AC-powered) bed specifically designed as a bed to accommodate a bariatric (obese) patient whose body mass exceeds the safe working load of standard hospital/institution beds and trolleys, i.e., 500 kg total, including the weight of the mattress and other accessories. Features like size, shape, and patient comfort (both physical and mental) will be taken into consideration by the design. This device is electrically-operated to assist the user/attending staff to adjust the functions and positions of the bed. It will typically include adjustable height, back rest, knee-break, removable head and foot ends and possibly an integrated weighing facility."
842307103288,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103271,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103264,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103257,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103240,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103233,Bariatric bed,"A mains electricity (AC-powered) bed specifically designed as a bed to accommodate a bariatric (obese) patient whose body mass exceeds the safe working load of standard hospital/institution beds and trolleys, i.e., 500 kg total, including the weight of the mattress and other accessories. Features like size, shape, and patient comfort (both physical and mental) will be taken into consideration by the design. This device is electrically-operated to assist the user/attending staff to adjust the functions and positions of the bed. It will typically include adjustable height, back rest, knee-break, removable head and foot ends and possibly an integrated weighing facility."
842307103226,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103219,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103189,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103172,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103165,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103158,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103141,Bariatric bed,"A mains electricity (AC-powered) bed specifically designed as a bed to accommodate a bariatric (obese) patient whose body mass exceeds the safe working load of standard hospital/institution beds and trolleys, i.e., 500 kg total, including the weight of the mattress and other accessories. Features like size, shape, and patient comfort (both physical and mental) will be taken into consideration by the design. This device is electrically-operated to assist the user/attending staff to adjust the functions and positions of the bed. It will typically include adjustable height, back rest, knee-break, removable head and foot ends and possibly an integrated weighing facility."
842307103134,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103127,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103110,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103103,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103097,Bariatric bed,"A mains electricity (AC-powered) bed specifically designed as a bed to accommodate a bariatric (obese) patient whose body mass exceeds the safe working load of standard hospital/institution beds and trolleys, i.e., 500 kg total, including the weight of the mattress and other accessories. Features like size, shape, and patient comfort (both physical and mental) will be taken into consideration by the design. This device is electrically-operated to assist the user/attending staff to adjust the functions and positions of the bed. It will typically include adjustable height, back rest, knee-break, removable head and foot ends and possibly an integrated weighing facility."
842307103080,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103073,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103066,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, non-collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device cannot be folded or readily dismantled for transport."
842307103059,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103042,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103028,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103011,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103004,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102991,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102984,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102977,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102960,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102953,Bariatric bed,"A mains electricity (AC-powered) bed specifically designed as a bed to accommodate a bariatric (obese) patient whose body mass exceeds the safe working load of standard hospital/institution beds and trolleys, i.e., 500 kg total, including the weight of the mattress and other accessories. Features like size, shape, and patient comfort (both physical and mental) will be taken into consideration by the design. This device is electrically-operated to assist the user/attending staff to adjust the functions and positions of the bed. It will typically include adjustable height, back rest, knee-break, removable head and foot ends and possibly an integrated weighing facility."
842307102946,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307102939,Bariatric bed,"A mains electricity (AC-powered) bed specifically designed as a bed to accommodate a bariatric (obese) patient whose body mass exceeds the safe working load of standard hospital/institution beds and trolleys, i.e., 500 kg total, including the weight of the mattress and other accessories. Features like size, shape, and patient comfort (both physical and mental) will be taken into consideration by the design. This device is electrically-operated to assist the user/attending staff to adjust the functions and positions of the bed. It will typically include adjustable height, back rest, knee-break, removable head and foot ends and possibly an integrated weighing facility."
842307102922,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102915,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102908,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102892,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102885,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102878,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307102861,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
