PrimaryDI,publicDeviceRecordKey,publicVersionStatus,deviceRecordStatus,publicVersionNumber,publicVersionDate,devicePublishDate,deviceCommDistributionEndDate,deviceCommDistributionStatus,brandName,versionModelNumber,catalogNumber,dunsNumber,companyName,deviceCount,deviceDescription,DMExempt,premarketExempt,deviceHCTP,deviceKit,deviceCombinationProduct,singleUse,lotBatch,serialNumber,manufacturingDate,expirationDate,donationIdNumber,labeledContainsNRL,labeledNoNRL,MRISafetyStatus,rx,otc,deviceSterile,sterilizationPriorToUse
842307103523,a37f4d21-e0c3-4c15-981e-aecb161f44cd,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6322-18-61-78-36-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     350 LB CAPACITY  ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103516,62c80339-037e-44ab-ae2e-57869a7cad7c,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6724-20-62-33-84-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24X20DP,REM ARM,Q/R",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103509,64998e9a-7542-4f0e-9e5e-20295e2eb336,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6728-18-62-29-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,28X18DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000     ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103493,a5f480a9-5ebf-4988-b315-3e7b53b9779b,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,650-116-119-163,,54164587,"GENDRON, INC.",1,"STRETCHER,CHR FRM,ENAM LTR",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103486,f70d7d86-8110-41fd-8827-2e61a2371be1,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6730-18-61-78-29-6,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,30X18DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103479,27aa8b6e-dccd-44c6-b411-7a025e7f242a,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,6834-20-61-26-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR, 34X20, REM ARM",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103462,f0f20caf-45d4-4e80-bee3-6de2c729b4ad,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6730-20-62-78-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,30X20DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103455,6c89f7dd-f176-4430-9237-96fdb737e048,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6724-18-62-29-6,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24X18DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000      ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103448,7b429dfe-a4a4-4446-8a67-ec5a86ff3395,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6422-18-61-78-36-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     450 LB CAPACITY  ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103431,ce9ed11c-395f-47c4-8ad6-9525ecc6582e,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6728-18-62-78-36-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,28X18DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000      ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103424,0bb4ae6a-9357-4c14-9de8-12e04fa4d19c,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6720-20-61-33-5,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,20X20DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103417,83b4e682-9713-42b9-ac48-baa171d18a07,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6730-20-62-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,30X20DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000              ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103400,ad188d28-1dbc-49e7-856b-7b99f74c8ccb,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6728-18-62-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,28X18DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000     ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103394,ff8d20ae-2a7d-4d40-ab17-2cb6f9bbac0d,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6322-18-61-78-36-04-07-6-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     350 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103387,83cace4e-3b0a-47b1-8a04-77db31abd6e4,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6420-18-62-78-36-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,20X18,DELUXE       450 LB CAPACITY          ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103370,c812062d-bd8f-4cf2-aee2-f4b75a0c476c,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6322-18-61-36-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     350 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103363,57f20491-60e6-4d16-ac7d-2b6923d96625,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6722-22-61-33-7,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22X22DP,REM ARM,Q/R",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103356,46a578a0-fcca-4dfc-9040-1115ea4b0462,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6828-22-62-27-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,28X22DP,REM ARM,Q/R850 LB CAPACITY,REGENCY XL2000      ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103349,01f64dc7-0388-40a6-928c-6652ac26fc3b,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6422-18-61-78-33-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     450 LB CAPACITY ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103325,626916f8-382c-42f4-b107-bf06e0f799bb,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6834-22-62-27-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,34x22DP,REM ARM,Q/R850 LB CAPACITY,REGENCY XL2000              ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103318,3fa82ae3-d7f5-472d-bb03-b81622ff3f5b,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1600-321-376-NM,,54164587,"GENDRON, INC.",1,"STRETCHER,EXTRA CARE BARIATRIC NO MATTRESS (LITTER PAD)",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103301,be7c0689-9348-4a03-b59a-c4f185d059e5,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6722-22-61-33-7,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22X22DP,REM ARM,Q/R",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103295,217a11ba-f69d-40b0-be1e-fc7128a6c67e,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,MC4748SD-4045-2,,54164587,"GENDRON, INC.",1,"BED,BARIATRIC S/FRAME,39""x80"" 3 FUNCTION 750 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103288,8c028127-bb18-4319-9e37-aba9bc46a57f,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6322-18-62-78-36-8-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     350 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103271,9b371791-ec0f-4f57-bc45-8709a80ef499,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6728-20-62-00-5,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,28x20DP, REM ARM",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103264,75c398ae-6950-4165-9930-bbaf2cb8d123,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6324-18-61-33-04-07-6-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24""X18"",DELUXE     350 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103257,83d47f9b-58ea-4149-9c20-dc7f3bbd7b7d,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6322-18-61-36-04-07-6-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     350 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103240,3e09795c-d791-49ae-b949-f9f573b03bf7,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1600-119-321,,54164587,"GENDRON, INC.",1,"STRETCHER,EXTRA CARE BARIATRIC CO153 3/6/07",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103233,0806e732-1e92-4a53-98e3-7f486ee3ac57,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,MC4748SD-W,,54164587,"GENDRON, INC.",1,"BED,BARIATRIC S/FRAME,39""x80"" 750 LB Capacity",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103226,a56ce813-5821-452a-8b9b-e117e4ca0118,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1150-1,,54164587,"GENDRON, INC.",1,"STRETCHER,CHR FRM,ENAM LTR    -10123,-.10212",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103219,c4b7c292-628a-4aae-a4ae-88b4e02e6113,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1050-1,,54164587,"GENDRON, INC.",1,"STRETCHER,CHR FRM,ENAM LTR    10123 ,10212, 10151",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103189,5a2d78e4-12fb-4bc8-86d2-c2cb064fe033,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6722-20-61-00-5,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22X20DP,REM ARM,Q/R ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103172,cdb62cbc-997e-4712-9f31-b3b94f7b3912,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1050-123-214-122-151,,54164587,"GENDRON, INC.",1,"STRETCHER,CHR FRM,ENAM LTR",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103165,0bafd503-73c2-4c9e-baf3-a40a96e066b2,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6832-22-62-27-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,32X22DP,REM ARM,Q/R850 LB CAPACITY,REGENCY XL2000     ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103158,7a0b3e15-8f57-4487-a003-98dae4b62f6f,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6322-18-62-36-12-85-R-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22""X18"",DELUXE     350 LB CAPACITY ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103141,d961e2b3-6707-4c27-8f47-d5bc055ea1f4,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,MC4748D-4043,,54164587,"GENDRON, INC.",1,"BED,BARIATRIC ADJ 39x80"" 750LB",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103134,e70d1c48-ca59-47d3-9a99-e2ced228f42b,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6724-18-63-78-29-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24X18DP,ADJ HGT ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103127,5af33d36-f412-4aaf-8ddc-913d87597bc5,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,880-284,,54164587,"GENDRON, INC.",1,"STRETCHER,TRANSPORT PLUS,28""  HEIGHT ADJ ONLY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103110,fcfa7c96-7013-4d8a-90ed-fd3c23c658da,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,7850-5040-56-62-00-FOLDING,,54164587,"GENDRON, INC.",1,"WHEELCHAIR, CUSTOM-FOLDING, MANUALSeat Width = 50"" Seat Depth = 40"" Seat Height Top of Seat Pan to Floor = 21""-00 Leg Rests (None), -62 Arm Rests20478-# = Base Frame, 20476-# = Back FramePO = ####",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103103,84fd18c8-cae7-4cd2-ae56-bf7b2976a7f3,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6726-20-63-78-33-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,26X20DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103097,bfeb06b8-cf7d-4fc5-bbee-9206ab98b0e2,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,4748B,,54164587,"GENDRON, INC.",1,"BED,BARIATRIC 48x80"" 750 LB   ",,True,,,,,,,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103080,61d82f97-8252-4598-a7a8-e4ffa322eb05,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6730-20-62-78-29-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,30X20DP,REM ARM,Q/R 700 LB CAPACITY,REGENCY XL2000        ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103073,357952ad-ccb6-4199-a929-941bee2380f7,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1190-132-144-140,,54164587,"GENDRON, INC.",1,"STRETCHER,BARIATRIC           WITH POWDER COAT OXYGEN HOLDER AND UTILITY SHELF",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103066,654c0891-7e1c-4d02-b343-3b3c1e82a391,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,7850-3726-56-63-27-83,,54164587,"GENDRON, INC.",1,"WHEELCHAIR, CUSTOM NON-FOLDING, MANUALSeat Width = 37"" Seat Depth = 26"" Seat Height from Top of Seat Pan to Floor = 20""-27 Leg Rests, -63 Arm RestsBase Frame, = 20478-15  Back Frame = 20476-15",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103059,8f4de637-0b99-4894-8817-95adde9b20d4,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1190-144-140,,54164587,"GENDRON, INC.",1,"STRETCHER,BARIATRIC           WITH POWDER COAT OXYGEN HOLDER AND UTILITY SHELF",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103042,853a2096-22e0-4bee-98ee-0fd27e4c320c,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1050-123-213-151-140-144,,54164587,"GENDRON, INC.",1,"STRETCHER,CHR FRM,ENAM LTR    ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103028,84d214c6-bd8b-4a80-94eb-f64707b366e2,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6734-22-61-78-36-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,34X22, REM ARM,Q/R 700LB CAPACITY, REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103011,bdaf0652-865d-43fc-aa5b-0de5fb59f441,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6734-22-61-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,34x22DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000               ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103004,069c1e4b-8bc2-4c22-98c5-f0ac41452d98,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,4000MRQ2-11,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,MR,20"",SPORTLITE,SS",,True,,,,,,True,,,,,,MR Conditional,,,,
842307102991,1a06c51b-943f-4147-b2f2-4fcf35fe7c58,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6722-18-62-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22X18DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000      ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102984,cf8523c5-a859-48e3-9b3b-0388f88c1551,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,5420-18-62-36-1295-85-R,,54164587,"GENDRON, INC.",1,"WHEELCHAIR, 20""X18"", BASIC      450 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102977,4b9d6283-f034-409e-9ee8-8d49caffd4c4,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,5422-18-62-36-12,,54164587,"GENDRON, INC.",1,"WHEELCHAIR, 22""X18"", BASIC      450 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102960,7b544b09-198b-4367-ad10-03ebab876c8e,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6722-20-62-29-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,22X20DP,REM ARM,Q/R 700 LB CAPACITY,REGENCY XL2000                 ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102953,89cd3542-f2f5-4ae0-9dc0-ae2b47627beb,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,MC4748SDX-3980-F,,54164587,"GENDRON, INC.",1,"BED,BARIATRIC S/FRAME,39""X 80""adj width & length",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102946,03d4b5f2-54da-4025-ab67-5b818d7d32cd,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,1000MR-124-214,,54164587,"GENDRON, INC.",1,"STRETCHER, NON-MAGNETIC SS    4"" HINGED LITTER PAD",,True,,,,,,True,,,,,,MR Conditional,,,,
842307102939,c72c587d-7904-42d0-b89f-d5e9bcce1764,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,MC4748DX-4043,,54164587,"GENDRON, INC.",1,"BED,BARIATRIC ADJ 39x80"" 750LB5 FUNCTION WIDTH & LENGTH ADJ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102922,93a0d05b-204d-4815-bad6-17817ee7fe8c,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6728-20-62-78-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,28X20DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000      ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102915,5407a1b4-d0b0-4675-9af3-a67b27e9659a,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,6322-18-61-78-36-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR, 22""X18"", DELUXE   350lb CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102908,f1109e7c-c91d-457f-95fc-cae346fcea1e,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6324-18-63-78-36-8-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24""X18"",DELUXE     350 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102892,299a495c-1ef3-40f3-b60f-3756c08850af,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,6734-18-61-78-33-75-94-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR, 34X18DP, REM ARM, Q/R700LB CAPACITY, REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102885,401e8df1-c7da-45ec-8bbc-859b5217333c,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6720-22-61-78-29-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,20X22DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307102878,a52b3e30-d3db-4015-a385-0f35998f2a0c,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6730-22-61-78-29-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,30X22DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
